area_name,no_of_bedrooms,no_of_bathrooms,land_area_sqm,fenced,building_type,interior_type,roof_type,distance_to_main_road_km,road_type,area_type,electricity_reliability_hrs,water_supply_score,crime_rate_index,flood_prone,price
Sabo,6,4,898.3533208610367,No,Flat,Ceiling,Gerrard,4.880322382136684,Tarred,Rural,5,3,8,No,15731674.67
Sabo,3,2,726.571487302049,Yes,Duplex,POP,Normal,3.885341606925626,Tarred,Urban,7,5,3,Yes,14882600.81
Sabo,3,4,380.64880616338456,Yes,Self-Contain,POP,Normal,1.4222751428660665,Untarred,Rural,14,3,1,No,13468114.75
Sabo,6,4,894.5576858744344,Yes,Flat,Ceiling,Normal,0.4308542910276209,Untarred,Rural,8,4,3,Yes,15339832.0
Sabo,6,3,699.11833241772,Yes,Flat,Ceiling,Gerrard,4.11967730946357,Tarred,Urban,22,5,6,No,17290152.53
Sabo,2,1,534.8892661209011,Yes,Bungalow,POP,Gerrard,2.2713350870549247,Tarred,Rural,13,4,1,No,13142563.4
Sabo,4,4,898.6155695543059,No,Duplex,Ceiling,Gerrard,1.1818140472134238,Untarred,Urban,13,1,6,No,16244894.59
Sabo,6,4,389.95045640926423,Yes,Duplex,Ceiling,Gerrard,3.5309525334420804,Tarred,Urban,8,4,8,No,17268508.3
Sabo,3,2,668.9701578915926,No,Bungalow,POP,Gerrard,3.685258813099524,Tarred,Urban,19,4,5,No,14898689.02
Sabo,5,3,664.0290278297135,Yes,Duplex,Ceiling,Normal,2.364028982739834,Tarred,Rural,17,4,6,No,15761965.99
Sabo,2,3,486.8665584273847,Yes,Flat,POP,Normal,1.18678308020306,Untarred,Urban,6,4,9,No,13507537.17
Sabo,4,2,851.0728349635807,Yes,Bungalow,Ceiling,Gerrard,2.9726333796394266,Tarred,Urban,4,1,6,No,15826116.26
Sabo,3,1,609.1042094440876,No,Flat,POP,Normal,2.7683346508815614,Tarred,Urban,16,3,8,No,13520604.52
Sabo,6,1,583.2401670659996,Yes,Bungalow,Ceiling,Gerrard,2.717073292772384,Tarred,Urban,9,3,4,Yes,15457536.05
Sabo,6,3,867.6692772801796,Yes,Bungalow,Ceiling,Gerrard,0.32185450716965536,Tarred,Rural,11,1,9,No,16583121.03
Sabo,6,4,362.4651491907443,No,Bungalow,Ceiling,Gerrard,0.6773186852448567,Tarred,Rural,17,3,4,No,15666470.46
Sabo,6,2,475.88863815660795,No,Bungalow,POP,Gerrard,0.32735457859433464,Tarred,Urban,21,2,1,No,16543880.67
Sabo,3,3,654.1769655088847,Yes,Flat,POP,Gerrard,2.2934073398495203,Tarred,Rural,15,1,8,No,14184390.16
Sabo,2,2,313.48158499207045,Yes,Flat,Ceiling,Gerrard,0.8689091555495558,Untarred,Rural,16,2,7,No,12042955.63
Sabo,3,4,598.8544521066035,Yes,Flat,POP,Normal,0.7115779046176369,Tarred,Urban,9,3,8,No,15522255.7
Sabo,6,1,596.5643100829628,Yes,Duplex,POP,Normal,2.2257730858432994,Tarred,Rural,4,3,5,No,15412621.03
Sabo,4,4,849.3082063751484,Yes,Flat,Ceiling,Gerrard,4.7796172953902385,Tarred,Urban,7,4,3,No,16071148.3
Sabo,4,1,597.8197483207418,Yes,Bungalow,Ceiling,Gerrard,0.5606613523318821,Untarred,Urban,14,2,9,No,14657516.47
Sabo,5,3,463.2870823379776,Yes,Flat,POP,Normal,0.8567294284110147,Untarred,Urban,18,4,8,No,15502492.76
Sabo,6,1,695.2700200264304,Yes,Duplex,POP,Gerrard,1.2618053207340907,Untarred,Rural,18,2,7,No,15539266.01
Sabo,6,3,478.4094044235304,No,Self-Contain,Ceiling,Gerrard,4.337804724748705,Untarred,Urban,13,1,8,No,15582359.56
Sabo,5,1,346.1719209775255,Yes,Bungalow,Ceiling,Gerrard,1.7133936215869294,Tarred,Rural,16,2,1,No,14225848.84
Sabo,4,2,894.2047880050662,Yes,Bungalow,POP,Normal,0.5361425875878609,Tarred,Urban,20,5,5,No,16381919.3
Sabo,5,3,538.9724303853814,Yes,Bungalow,POP,Normal,0.21606253780630028,Tarred,Urban,21,4,2,No,16733431.68
Sabo,2,1,707.7883696158419,Yes,Self-Contain,Ceiling,Gerrard,2.204387723767656,Untarred,Rural,14,5,2,Yes,11794313.94
Sabo,5,4,439.003020830066,No,Flat,Ceiling,Gerrard,1.3072150962452416,Tarred,Urban,20,2,3,No,16133590.32
Sabo,2,1,856.6513699171278,No,Bungalow,POP,Normal,3.5408989666582027,Tarred,Rural,9,5,8,No,12881008.54
Sabo,2,1,836.952864736704,No,Flat,POP,Gerrard,2.4880487759857686,Tarred,Rural,13,1,8,No,12602950.4
Sabo,5,3,303.04928389081556,Yes,Bungalow,POP,Normal,0.7254505282613786,Untarred,Rural,21,5,3,No,14844138.79
Sabo,3,4,639.4391783974746,Yes,Duplex,Ceiling,Gerrard,4.282792299652361,Untarred,Rural,14,5,9,No,14597888.58
Sabo,5,3,828.9822796622101,No,Flat,Ceiling,Gerrard,4.13574520355888,Tarred,Rural,21,4,2,No,15103939.46
Sabo,6,4,303.83152303010013,Yes,Flat,Ceiling,Gerrard,1.4470571891079669,Tarred,Urban,6,3,7,No,16570376.94
Sabo,5,3,859.2168633060105,Yes,Self-Contain,Ceiling,Gerrard,1.6446251213447178,Untarred,Urban,13,1,6,No,16049510.0
Sabo,4,2,822.9220836914258,No,Self-Contain,Ceiling,Gerrard,3.8396633404593086,Tarred,Urban,9,3,7,No,14696695.61
Sabo,6,1,479.0246585939956,No,Duplex,POP,Gerrard,4.366660748155006,Untarred,Urban,18,5,4,No,15573380.45
Sabo,2,1,890.3865887758969,Yes,Duplex,POP,Gerrard,0.34944359784565454,Untarred,Urban,18,4,8,Yes,14221388.33
Sabo,3,4,310.71713548699165,No,Bungalow,Ceiling,Normal,1.0902025984479409,Tarred,Urban,10,1,4,No,14196729.52
Sabo,2,4,338.52536224508043,Yes,Bungalow,Ceiling,Gerrard,2.3850567155926456,Tarred,Urban,21,3,9,No,14618462.76
Sabo,2,4,891.9975559602879,Yes,Flat,Ceiling,Normal,2.886313680737188,Tarred,Urban,5,1,1,No,14782940.83
Sabo,2,1,347.14709829301245,Yes,Bungalow,POP,Gerrard,4.042816155723598,Tarred,Urban,20,3,3,No,14196386.48
Sabo,2,2,861.1210891796758,No,Flat,Ceiling,Gerrard,2.525112548355395,Untarred,Urban,9,2,6,No,13550834.07
Sabo,4,3,615.841596561668,Yes,Bungalow,POP,Gerrard,0.965814464543304,Untarred,Urban,17,4,8,No,15808729.64
Sabo,5,2,312.51668357492287,Yes,Bungalow,POP,Gerrard,0.5913271498516481,Tarred,Urban,18,1,7,No,16039861.83
Sabo,6,3,549.5444196881645,No,Flat,Ceiling,Normal,2.6232554330864857,Tarred,Urban,12,4,5,No,16004100.93
Sabo,5,2,693.0056032992652,No,Bungalow,POP,Gerrard,2.435901473697193,Untarred,Urban,11,4,7,No,15812470.11
Sabo,3,3,547.8187047886182,Yes,Flat,POP,Gerrard,3.046008319192553,Tarred,Urban,10,1,9,No,15121127.56
Sabo,2,4,659.2283880600646,Yes,Bungalow,POP,Normal,2.321716994157716,Tarred,Urban,15,1,1,No,15075155.84
Sabo,4,4,724.0663301312675,Yes,Bungalow,POP,Normal,3.3862617325846647,Tarred,Rural,15,4,6,No,15348388.23
Sabo,3,1,618.7017168006191,No,Bungalow,POP,Gerrard,4.682600084133943,Tarred,Urban,17,4,4,No,14366268.94
Ojomu,4,3,310.4278741112878,Yes,Self-Contain,POP,Gerrard,2.704304223853823,Tarred,Urban,16,4,2,No,17014411.02
Ojomu,6,3,406.28987366843154,Yes,Duplex,Ceiling,Gerrard,2.5864388672404512,Tarred,Rural,11,1,8,No,17277873.08
Ojomu,5,1,660.3657255277417,No,Duplex,Ceiling,Gerrard,1.8731536027614581,Tarred,Urban,12,1,9,No,16972858.67
Ojomu,2,3,827.1093367808087,Yes,Bungalow,Ceiling,Normal,3.8589686469277558,Untarred,Urban,14,1,8,No,15129098.9
Ojomu,2,1,494.75149794016215,Yes,Flat,Ceiling,Gerrard,2.3537293885881474,Tarred,Urban,15,2,3,Yes,14143334.31
Ojomu,2,3,625.418198987843,No,Duplex,Ceiling,Normal,0.7228080408643109,Tarred,Urban,18,4,4,No,16059073.99
Ojomu,3,4,873.3142175729608,Yes,Bungalow,POP,Gerrard,4.510546634959937,Tarred,Rural,18,4,5,No,16799019.09
Ojomu,5,4,613.8508347490708,Yes,Self-Contain,POP,Gerrard,0.6302064279437222,Untarred,Urban,16,4,9,No,17877978.55
Ojomu,5,2,779.8686572544129,Yes,Bungalow,Ceiling,Gerrard,4.605211948022611,Tarred,Urban,4,4,8,No,17543922.36
Ojomu,5,1,776.2463102283098,Yes,Bungalow,POP,Normal,3.8957345612080587,Tarred,Urban,7,2,8,No,17282153.27
Ojomu,5,3,700.5299395748823,Yes,Flat,POP,Gerrard,1.0064681971753444,Untarred,Rural,20,5,3,No,16576135.48
Ojomu,6,1,335.07276846513236,Yes,Bungalow,POP,Gerrard,2.3250414405417303,Tarred,Rural,14,4,3,No,16656233.0
Ojomu,3,4,464.4963999358835,Yes,Bungalow,Ceiling,Gerrard,1.7521834981544995,Tarred,Urban,7,5,1,No,17025727.62
Ojomu,6,4,828.047452536875,Yes,Flat,POP,Gerrard,3.413537384951313,Untarred,Urban,20,3,2,No,18984718.74
Ojomu,5,4,648.2850040300048,Yes,Self-Contain,Ceiling,Normal,1.0182941032348043,Tarred,Urban,19,4,1,No,18014680.81
Ojomu,6,3,539.5895494855849,Yes,Self-Contain,Ceiling,Gerrard,4.241759813006822,Tarred,Urban,21,1,5,No,18031868.22
Ojomu,5,2,337.8654198474901,Yes,Bungalow,POP,Gerrard,1.862344489227217,Tarred,Urban,6,4,7,No,17409087.67
Ojomu,5,1,534.6256578349046,Yes,Flat,POP,Gerrard,3.4366582707634326,Tarred,Rural,6,4,9,No,15795776.33
Ojomu,4,2,392.27468980081863,Yes,Self-Contain,POP,Normal,2.9607840823837996,Tarred,Urban,17,1,6,No,15949484.05
Ojomu,2,1,520.5206533749189,Yes,Bungalow,POP,Normal,2.8377417722960816,Untarred,Urban,16,4,2,No,14462830.5
Ojomu,6,3,671.7527729386977,Yes,Bungalow,POP,Normal,2.4070420340927368,Tarred,Rural,18,1,7,No,17308159.87
Ojomu,5,1,605.6532768898738,No,Duplex,Ceiling,Gerrard,3.194700014199865,Tarred,Urban,8,4,3,No,17036943.19
Ojomu,5,2,796.5227373401246,Yes,Duplex,POP,Gerrard,2.5104519278495534,Tarred,Urban,13,2,8,No,18482199.65
Ojomu,5,3,572.6264007359765,No,Bungalow,POP,Gerrard,1.7584444490722877,Untarred,Urban,12,5,4,No,17345169.76
Ojomu,3,1,873.733314389369,Yes,Bungalow,Ceiling,Normal,4.082640615854374,Tarred,Urban,21,2,8,No,15907604.11
Ojomu,4,2,682.0018093003243,Yes,Bungalow,POP,Gerrard,3.739682089863131,Tarred,Urban,16,1,7,No,17392453.08
Ojomu,6,3,342.7540366591552,Yes,Self-Contain,Ceiling,Gerrard,1.623370790180745,Tarred,Rural,10,3,3,Yes,15999250.4
Ojomu,3,2,349.57059807556124,Yes,Duplex,Ceiling,Gerrard,4.884756078074203,Untarred,Urban,7,4,9,No,15208100.81
Ojomu,3,3,325.17073405898174,No,Duplex,POP,Normal,3.0890316302543464,Tarred,Rural,5,3,1,No,14818938.42
Ojomu,4,2,563.6429938166714,Yes,Self-Contain,POP,Gerrard,1.147858351327699,Untarred,Urban,6,2,7,No,15922948.36
Ojomu,5,1,626.4099475096509,Yes,Bungalow,Ceiling,Normal,2.8775034824531356,Tarred,Urban,14,1,6,No,16414214.09
Ojomu,6,3,355.12253262602684,No,Flat,POP,Gerrard,2.184398956617255,Untarred,Rural,6,3,7,No,15793077.79
Ojomu,5,3,826.2830649068424,Yes,Bungalow,POP,Normal,3.760217895262064,Untarred,Urban,6,2,2,No,17723247.36
Ojomu,4,3,712.7304659279491,Yes,Flat,POP,Normal,4.231827105354476,Untarred,Urban,5,5,9,No,16194035.48
Ojomu,4,3,483.36252929412893,No,Self-Contain,POP,Gerrard,3.665940503373138,Untarred,Urban,8,5,6,No,16068017.24
Ojomu,5,1,652.9213601690343,Yes,Flat,POP,Gerrard,2.895126022205714,Tarred,Urban,5,2,3,No,16966204.35
Ojomu,5,3,598.9534093580721,Yes,Bungalow,POP,Normal,3.596868486756396,Untarred,Urban,19,5,4,Yes,16461665.29
Ojomu,5,1,658.9351764382433,Yes,Self-Contain,Ceiling,Gerrard,2.221990655811546,Tarred,Rural,18,4,7,No,15909703.3
Ojomu,6,1,639.3299789528642,No,Bungalow,Ceiling,Gerrard,3.0150996425057937,Untarred,Rural,22,5,3,No,15951117.08
Ojomu,6,4,411.6608507077664,No,Flat,POP,Gerrard,0.5868872660341984,Untarred,Urban,4,1,4,No,17488769.68
Ojomu,5,4,381.2124493666113,No,Duplex,Ceiling,Gerrard,0.47386266152602075,Tarred,Urban,6,4,8,No,17865422.77
Ojomu,2,1,460.883412057308,Yes,Duplex,POP,Gerrard,2.8975656678406727,Tarred,Urban,10,2,8,No,15320141.59
Ojomu,6,2,796.7210251933037,No,Flat,POP,Normal,0.8958323474231218,Untarred,Urban,20,3,3,No,16966946.82
Ojomu,2,1,390.74809724096076,Yes,Bungalow,Ceiling,Gerrard,2.712276374596959,Tarred,Rural,14,1,7,No,13711289.4
Ojomu,2,2,349.03520744806696,Yes,Flat,POP,Normal,4.279881783107177,Untarred,Urban,19,3,7,No,13936820.41
Ojomu,5,3,575.5439265581749,Yes,Duplex,POP,Gerrard,0.9905904964750203,Tarred,Rural,18,5,6,Yes,17090767.75
Ojomu,4,1,570.7436065085928,No,Duplex,POP,Gerrard,2.4268706086991974,Untarred,Urban,23,3,6,No,15959687.45
Ojomu,4,3,564.6432949504702,Yes,Bungalow,POP,Gerrard,3.8359130469892033,Tarred,Urban,12,2,4,No,17347445.78
Ojomu,3,3,668.0838831835058,Yes,Duplex,POP,Gerrard,3.0709406209712866,Tarred,Urban,19,3,5,No,17652329.39
Ojomu,2,4,743.8381992513243,Yes,Self-Contain,POP,Gerrard,3.6808906305314757,Tarred,Rural,8,1,3,No,15491919.51
Ojomu,2,4,834.1548318106812,Yes,Duplex,POP,Normal,4.131504866535949,Tarred,Rural,15,1,2,No,15784255.4
Ojomu,3,2,796.9495514623311,Yes,Bungalow,Ceiling,Normal,0.68305989691296,Tarred,Urban,12,3,2,No,16298339.37
Ojomu,2,3,672.5571404870586,Yes,Duplex,POP,Normal,3.243882263819537,Tarred,Urban,5,3,8,Yes,15438735.05
Ojomu,5,4,895.0455703007033,Yes,Bungalow,POP,Normal,1.2345433701983928,Tarred,Urban,17,4,4,No,19163260.66
Ojomu,2,3,335.45633404695195,No,Duplex,Ceiling,Gerrard,1.011589137708764,Tarred,Urban,17,4,5,No,15877157.1
Ojomu,4,4,310.800053367129,Yes,Bungalow,Ceiling,Gerrard,3.59690396638697,Untarred,Rural,22,1,4,No,15451004.09
Ojomu,2,3,676.9428662779688,Yes,Flat,POP,Gerrard,0.7771866872560431,Tarred,Urban,12,1,8,No,16293074.67
Ojomu,2,4,338.6947627495005,No,Duplex,POP,Gerrard,4.947336120080835,Tarred,Urban,20,4,3,No,16288023.37
Ojomu,3,1,612.8674134261537,Yes,Duplex,POP,Gerrard,0.6505149671521098,Untarred,Urban,20,2,8,No,16074142.94
Ojomu,4,2,398.8948052080572,Yes,Self-Contain,POP,Normal,3.270106693652873,Untarred,Urban,7,4,3,No,15344052.77
Ojomu,3,4,660.3906399290136,Yes,Flat,Ceiling,Gerrard,1.4210795880408655,Tarred,Urban,11,3,1,No,17429604.45
Ojomu,4,4,468.4099293095846,Yes,Flat,POP,Gerrard,1.2515302836889173,Tarred,Urban,10,5,5,No,17624018.14
Ojomu,3,3,326.63266330251264,Yes,Duplex,POP,Normal,2.7516774301012683,Untarred,Urban,10,5,3,No,16274999.68
Ojomu,6,1,454.90395251470153,Yes,Bungalow,Ceiling,Normal,3.6626885653101837,Untarred,Urban,16,1,4,No,16091057.12
Ojomu,3,4,530.3033298269877,Yes,Flat,POP,Gerrard,3.805654629480407,Tarred,Urban,18,1,7,No,17024601.43
Ojomu,4,3,659.2154413914584,Yes,Bungalow,POP,Gerrard,1.0248727103700537,Tarred,Rural,9,3,8,No,16880397.87
Ojomu,2,2,619.4956196622879,Yes,Bungalow,POP,Normal,4.078508623551454,Tarred,Urban,9,4,5,No,15696967.35
Ojomu,2,1,817.0454969509772,Yes,Bungalow,POP,Gerrard,2.980478498338529,Untarred,Urban,14,2,9,Yes,14313097.41
Ojomu,5,1,615.4875593239942,Yes,Bungalow,Ceiling,Gerrard,3.857152736635594,Untarred,Urban,13,4,2,No,16439713.11
Ojomu,4,1,360.75594876909537,No,Flat,Ceiling,Gerrard,2.8865045352221115,Tarred,Urban,21,5,8,No,15207464.98
Ojomu,4,3,381.47342823836226,Yes,Bungalow,Ceiling,Gerrard,2.098084486365989,Tarred,Urban,13,5,5,No,17174973.45
Ojomu,5,2,796.0244158448925,No,Bungalow,Ceiling,Gerrard,2.050457142737227,Tarred,Urban,8,1,1,No,17339307.86
Ojomu,6,2,448.1444560005514,No,Flat,Ceiling,Normal,1.0504204413049545,Tarred,Urban,15,3,7,No,16636098.38
Ojomu,6,3,390.31289499804814,No,Bungalow,Ceiling,Normal,1.6423490508820753,Tarred,Rural,22,5,7,No,16146928.89
Ojomu,5,1,585.327622492096,Yes,Bungalow,Ceiling,Normal,3.6662875301883484,Tarred,Rural,14,4,5,No,15498674.92
Ojomu,5,2,389.27758164306937,Yes,Self-Contain,POP,Normal,3.0259113062303356,Tarred,Urban,4,3,9,No,16275936.68
Ojomu,2,3,836.6715340945393,Yes,Flat,Ceiling,Gerrard,4.071628843166129,Tarred,Rural,11,4,1,No,14892757.44
Ojomu,4,3,318.4740297962687,No,Bungalow,Ceiling,Normal,4.6604355104347,Tarred,Rural,13,2,5,No,14333936.79
Ojomu,3,1,467.2559234487318,Yes,Self-Contain,POP,Normal,3.448742234515499,Untarred,Urban,10,3,1,No,14376020.38
Ojomu,6,4,862.2546170752769,No,Duplex,Ceiling,Normal,0.701139822790791,Tarred,Rural,17,4,6,No,18163770.86
Ojomu,4,2,784.9411260055333,No,Bungalow,Ceiling,Gerrard,1.6379152541785946,Tarred,Urban,13,4,6,Yes,16074242.37
Ojomu,5,2,468.6026993452282,No,Self-Contain,POP,Normal,1.7431793659898334,Tarred,Urban,12,5,5,No,16330916.02
Ojomu,4,1,755.7668572198779,Yes,Duplex,Ceiling,Gerrard,4.142873559884448,Tarred,Urban,21,2,4,No,17298127.09
Ojomu,5,1,850.0750144214011,Yes,Flat,POP,Normal,4.1541348324855925,Untarred,Urban,20,1,1,No,16163426.78
Ojomu,3,2,465.7017346925397,Yes,Bungalow,Ceiling,Gerrard,1.3847545721691308,Untarred,Urban,14,1,1,Yes,14953715.97
Ojomu,5,4,844.3198929363733,No,Flat,POP,Normal,3.4406722935184066,Tarred,Urban,4,4,9,No,17601735.19
Ojomu,3,3,400.1718532483192,Yes,Duplex,Ceiling,Normal,4.763708997110423,Untarred,Urban,23,3,3,No,15713830.75
Ojomu,5,4,559.6374816118227,Yes,Bungalow,POP,Gerrard,0.4513040968998675,Untarred,Urban,16,4,2,No,18382302.78
Ojomu,2,2,583.369082497789,No,Bungalow,Ceiling,Gerrard,1.6174470923447972,Tarred,Urban,21,3,6,No,15524490.37
Ojomu,2,4,351.2048018905949,Yes,Duplex,Ceiling,Normal,2.8102674937579395,Tarred,Urban,16,5,6,No,16038399.47
Ojomu,2,4,869.3075734986783,Yes,Duplex,POP,Normal,1.4800409439774924,Untarred,Rural,9,1,4,No,15493068.15
Ojomu,5,2,814.2777359137693,Yes,Bungalow,POP,Gerrard,1.0723481154054224,Tarred,Urban,4,2,7,No,18078803.79
Ojomu,5,4,640.8555074027204,Yes,Flat,Ceiling,Gerrard,2.825423606582663,Untarred,Urban,11,5,6,Yes,16789063.75
Ojomu,6,2,661.9750834289658,Yes,Bungalow,Ceiling,Gerrard,4.9530026892205825,Tarred,Urban,23,2,6,No,18212757.68
Ojomu,4,2,417.49985048056203,Yes,Flat,Ceiling,Gerrard,0.9054210060234065,Untarred,Urban,18,4,1,No,15919734.9
Ojomu,5,1,834.0846824376088,Yes,Bungalow,POP,Gerrard,3.228424593099984,Tarred,Urban,21,3,2,No,18128875.38
Ojomu,6,2,707.7721996410646,Yes,Bungalow,Ceiling,Gerrard,2.8235702817550155,Tarred,Urban,9,5,8,No,18213123.81
Ojomu,2,4,681.9231880520126,Yes,Flat,Ceiling,Gerrard,1.2517639014557043,Tarred,Rural,9,2,6,Yes,14492359.63
Ojomu,4,1,844.7392762677716,No,Self-Contain,POP,Normal,3.8350889942453064,Tarred,Urban,7,1,7,No,15605468.02
Ojomu,6,2,770.6525148020505,Yes,Flat,Ceiling,Gerrard,4.078780555307984,Tarred,Urban,19,3,6,No,18181280.11
Ijagbo,2,1,588.5340879618054,Yes,Bungalow,POP,Gerrard,4.613748918349039,Untarred,Urban,10,1,3,No,11194723.56
Ijagbo,2,3,646.2735516229925,Yes,Duplex,POP,Gerrard,1.921176615319391,Untarred,Urban,16,4,4,Yes,12075142.38
Ijagbo,4,3,751.063303823456,Yes,Self-Contain,POP,Gerrard,1.27947304071638,Tarred,Rural,22,5,3,No,12822463.96
